rPTRI,rLOF
rSMAR,rLOF
rCUN,rLOF
lSMAR,rLOF
lIP,rLOF
lPCAL,rLOF
lST,rLOF
rLING,rPORB
rTP,rPORB
rBSTS,rPORB
lPSTC,rPORB
lPCAL,rPORB
lLING,rPORB
lENT,rPORB
rPOPE,rFP
rSF,rFP
rPARC,rFP
rRAC,rFP
rPCAL,rFP
rLOCC,rFP
rTP,rFP
rST,rFP
rTT,rFP
lLOF,rFP
lPTRI,rFP
rPTRI,rMOF
rISTC,rMOF
rIP,rMOF
rPCAL,rMOF
rST,rMOF
lSP,rMOF
lST,rMOF
rLOF,rPTRI
rMOF,rPTRI
rCMF,rPTRI
rCAC,rPTRI
rPC,rPTRI
rISTC,rPTRI
rIP,rPTRI
rPCAL,rPTRI
rLING,rPTRI
rTP,rPTRI
rST,rPTRI
rTT,rPTRI
lMOF,rPTRI
lPOPE,rPTRI
lPARC,rPTRI
lPARH,rPTRI
lMT,rPTRI
rFP,rPOPE
rRMF,rPOPE
rSF,rPOPE
rRAC,rPOPE
rPCAL,rPOPE
rLOCC,rPOPE
rENT,rPOPE
rMT,rPOPE
lLOF,rPOPE
lPTRI,rPOPE
lPREC,rPOPE
lIP,rPOPE
lCUN,rPOPE
lPCAL,rPOPE
lPARH,rPOPE
lENT,rPOPE
lIT,rPOPE
lTT,rPOPE
rPOPE,rRMF
rPCUN,rRMF
rMT,rRMF
rBSTS,rRMF
lLOF,rRMF
lMOF,rRMF
lSF,rRMF
lPREC,rRMF
lPSTC,rRMF
lTP,rRMF
lMT,rRMF
lBSTS,rRMF
rFP,rSF
rPOPE,rSF
rPARC,rSF
rPCAL,rSF
rENT,rSF
lLOF,rSF
lPTRI,rSF
lSF,rSF
lPCUN,rSF
lCUN,rSF
lLING,rSF
lFUS,rSF
lENT,rSF
lIT,rSF
lMT,rSF
lBSTS,rSF
rPTRI,rCMF
rCUN,rCMF
rFUS,rCMF
rBSTS,rCMF
LRMF,rCMF
lRAC,rCMF
lISTC,rCMF
lIP,rCMF
lPCUN,rCMF
lCUN,rCMF
lENT,rCMF
lMT,rCMF
lST,rCMF
lTT,rCMF
rPSTC,rPREC
rIP,rPREC
rST,rPREC
lPORB,rPREC
lCAC,rPREC
lFUS,rPREC
lST,rPREC
rFP,rPARC
rSF,rPARC
rPC,rPARC
rPCAL,rPARC
rTP,rPARC
lLOF,rPARC
lFP,rPARC
lCMF,rPARC
lPREC,rPARC
lPARC,rPARC
lCAC,rPARC
lPC,rPARC
lISTC,rPARC
lCUN,rPARC
lPARH,rPARC
lMT,rPARC
rFP,rRAC
rPOPE,rRAC
