rPTRI,rLOF
rRMF,rLOF
rPSTC,rLOF
rCUN,rLOF
rLING,rLOF
rENT,rLOF
rTP,rLOF
lLOF,rLOF
lPORB,rLOF
lSF,rLOF
lPARC,rLOF
lCAC,rLOF
lISTC,rLOF
lPSTC,rLOF
lSMAR,rLOF
lLING,rLOF
lTP,rLOF
lST,rLOF
rPC,rPORB
rPARH,rPORB
rTP,rPORB
rBSTS,rPORB
lRAC,rPORB
lPCAL,rPORB
rPOPE,rFP
rRMF,rFP
rSF,rFP
rCMF,rFP
rRAC,rFP
rCAC,rFP
rLOCC,rFP
rST,rFP
rTT,rFP
lPORB,rFP
lMOF,rFP
lPCUN,rFP
lPCAL,rFP
lFUS,rFP
lMT,rFP
rPREC,rMOF
rRAC,rMOF
rPCUN,rMOF
rCUN,rMOF
lLOF,rMOF
lFP,rMOF
lPOPE,rMOF
lCMF,rMOF
lSP,rMOF
lLOC,rMOF
lLING,rMOF
lFUS,rMOF
lPARH,rMOF
lST,rMOF
lTT,rMOF
rLOF,rPTRI
rCMF,rPTRI
rPCAL,rPTRI
rENT,rPTRI
rIT,rPTRI
rBSTS,rPTRI
lMOF,rPTRI
lRAC,rPTRI
lLING,rPTRI
lTT,rPTRI
rFP,rPOPE
rLOCC,rPOPE
rENT,rPOPE
lLOF,rPOPE
lPORB,rPOPE
lPTRI,rPOPE
LRMF,rPOPE
lMT,rPOPE
lST,rPOPE
rLOF,rRMF
rFP,rRMF
rCMF,rRMF
rPREC,rRMF
rCUN,rRMF
rMT,rRMF
rBSTS,rRMF
lLOF,rRMF
lPORB,rRMF
lMOF,rRMF
lSF,rRMF
lPREC,rRMF
lPSTC,rRMF
lLOC,rRMF
lFUS,rRMF
lTP,rRMF
rFP,rSF
rPARC,rSF
rRAC,rSF
rLOCC,rSF
rTP,rSF
rST,rSF
lCUN,rSF
lENT,rSF
lIT,rSF
rFP,rCMF
rPTRI,rCMF
rRMF,rCMF
rPARC,rCMF
rPCUN,rCMF
rCUN,rCMF
rPARH,rCMF
rMT,rCMF
rBSTS,rCMF
lMOF,rCMF
lPREC,rCMF
lRAC,rCMF
lISTC,rCMF
lSP,rCMF
lPCUN,rCMF
lFUS,rCMF
lENT,rCMF
lTP,rCMF
lST,rCMF
lTT,rCMF
rMOF,rPREC
rRMF,rPREC
rPARC,rPREC
rSP,rPREC
rMT,rPREC
rBSTS,rPREC
rST,rPREC
lPORB,rPREC
LRMF,rPREC
lCMF,rPREC
lCAC,rPREC
lPSTC,rPREC
lSMAR,rPREC
lPCUN,rPREC
lFUS,rPREC
lTP,rPREC
lST,rPREC
lTT,rPREC
rSF,rPARC
rCMF,rPARC
rPREC,rPARC
rCUN,rPARC
rPCAL,rPARC
rTP,rPARC
lLOF,rPARC
lISTC,rPARC
lCUN,rPARC
lLING,rPARC
lST,rPARC
lTT,rPARC
rFP,rRAC
rMOF,rRAC
rSF,rRAC
rPC,rRAC
rIP,rRAC
rFUS,rRAC
rENT,rRAC
rMT,rRAC
lMOF,rRAC
lPTRI,rRAC
lPREC,rRAC
lISTC,rRAC
rFP,rCAC
rPC,rCAC
rISTC,rCAC
rIP,rCAC
rFUS,rCAC
rBSTS,rCAC
rST,rCAC
lLOF,rCAC
lMOF,rCAC
lPTRI,rCAC
LRMF,rCAC
lSF,rCAC
lSP,rCAC
lCUN,rCAC
lLING,rCAC
lIT,rCAC
lMT,rCAC
lBSTS,rCAC
rPORB,rPC
rRAC,rPC
rCAC,rPC
rIP,rPC
rTT,rPC
lPTRI,rPC
lPOPE,rPC
lSF,rPC
lPC,rPC
lSP,rPC
lPCUN,rPC
lFUS,rPC
lTP,rPC
lMT,rPC
rCAC,rISTC
rIP,rISTC
rST,rISTC
lLOF,rISTC
lFP,rISTC
lPTRI,rISTC
rLOF,rPSTC
rSMAR,rPSTC
rPCUN,rPSTC
rLOCC,rPSTC
lSF,rPSTC
lPCUN,rPSTC
lFUS,rPSTC
lTP,rPSTC
lIT,rPSTC
rPSTC,rSMAR
rLING,rSMAR
rTP,rSMAR
lFP,rSMAR
lCMF,rSMAR
lCAC,rSMAR
lSMAR,rSMAR
lPCUN,rSMAR
lPCAL,rSMAR
lLOC,rSMAR
lFUS,rSMAR
lTP,rSMAR
lMT,rSMAR
rPREC,rSP
rIP,rSP
rIT,rSP
rMT,rSP
rBSTS,rSP
rST,rSP
lMOF,rSP
lPOPE,rSP
lPC,rSP
lPSTC,rSP
lPCAL,rSP
lLOC,rSP
lLING,rSP
lTP,rSP
rRAC,rIP
rCAC,rIP
rPC,rIP
rISTC,rIP
rSP,rIP
rST,rIP
lLOF,rIP
lFP,rIP
lPTRI,rIP
lPOPE,rIP
lLING,rIP
lMT,rIP
rMOF,rPCUN
rCMF,rPCUN
rPSTC,rPCUN
rCUN,rPCUN
rMT,rPCUN
lLOF,rPCUN
lPORB,rPCUN
lSF,rPCUN
lPARC,rPCUN
lRAC,rPCUN
lCAC,rPCUN
lIP,rPCUN
lPCUN,rPCUN
lCUN,rPCUN
lFUS,rPCUN
lTP,rPCUN
lST,rPCUN
rLOF,rCUN
rMOF,rCUN
rRMF,rCUN
rCMF,rCUN
rPARC,rCUN
rPCUN,rCUN
rIT,rCUN
rMT,rCUN
lLOF,rCUN
lPORB,rCUN
lRAC,rCUN
lPC,rCUN
lISTC,rCUN
lSP,rCUN
lIP,rCUN
lLING,rCUN
rPTRI,rPCAL
rPARC,rPCAL
rTP,rPCAL
lLING,rPCAL
lBSTS,rPCAL
rFP,rLOCC
rPOPE,rLOCC
rSF,rLOCC
rPSTC,rLOCC
rENT,rLOCC
rST,rLOCC
lPC,rLOCC
lIP,rLOCC
lCUN,rLOCC
lPARH,rLOCC
lTT,rLOCC
rLOF,rLING
rSMAR,rLING
rFUS,rLING
rTT,rLING
lPOPE,rLING
lSF,rLING
lCMF,rLING
lPARC,rLING
lSP,rLING
lPCUN,rLING
lLOC,rLING
lTP,rLING
rRAC,rFUS
rCAC,rFUS
rLING,rFUS
lMOF,rFUS
lSMAR,rFUS
lSP,rFUS
lENT,rFUS
lIT,rFUS
lBSTS,rFUS
lTT,rFUS
rPORB,rPARH
rCMF,rPARH
rBSTS,rPARH
lPREC,rPARH
lSMAR,rPARH
lSP,rPARH
lENT,rPARH
lIT,rPARH
rLOF,rENT
rPTRI,rENT
rPOPE,rENT
rRAC,rENT
rLOCC,rENT
rMT,rENT
lFP,rENT
lPTRI,rENT
LRMF,rENT
lCMF,rENT
lRAC,rENT
lCAC,rENT
lISTC,rENT
lCUN,rENT
lPARH,rENT
rLOF,rTP
rPORB,rTP
rSF,rTP
rPARC,rTP
rSMAR,rTP
rPCAL,rTP
lPARC,rTP
lRAC,rTP
lCAC,rTP
lIP,rTP
lST,rTP
rPTRI,rIT
rSP,rIT
rCUN,rIT
rMT,rIT
lPORB,rIT
lPOPE,rIT
lPARC,rIT
lCAC,rIT
lPC,rIT
lSP,rIT
lLING,rIT
rRMF,rMT
rCMF,rMT
rPREC,rMT
rRAC,rMT
rSP,rMT
rPCUN,rMT
rCUN,rMT
rENT,rMT
rIT,rMT
lLOF,rMT
lPORB,rMT
lPOPE,rMT
lCMF,rMT
lCAC,rMT
lPC,rMT
lSP,rMT
lPCUN,rMT
lCUN,rMT
lLING,rMT
lFUS,rMT
lST,rMT
rPORB,rBSTS
rPTRI,rBSTS
rRMF,rBSTS
rCMF,rBSTS
rPREC,rBSTS
rCAC,rBSTS
rSP,rBSTS
rPARH,rBSTS
lMOF,rBSTS
lCMF,rBSTS
lPREC,rBSTS
lSMAR,rBSTS
lLOC,rBSTS
lPARH,rBSTS
lENT,rBSTS
lBSTS,rBSTS
rFP,rST
rSF,rST
rPREC,rST
rCAC,rST
rISTC,rST
rSP,rST
rIP,rST
rLOCC,rST
lPORB,rST
lPTRI,rST
LRMF,rST
lIP,rST
lIT,rST
lST,rST
rFP,rTT
rPC,rTT
rLING,rTT
lPTRI,rTT
lSP,rTT
lMT,rTT
lBSTS,rTT
rLOF,lLOF
rMOF,lLOF
rPOPE,lLOF
rRMF,lLOF
rPARC,lLOF
rCAC,lLOF
rISTC,lLOF
rIP,lLOF
rPCUN,lLOF
rCUN,lLOF
rMT,lLOF
lSF,lLOF
lRAC,lLOF
lCAC,lLOF
lPCUN,lLOF
lTP,lLOF
lST,lLOF
lTT,lLOF
rLOF,lPORB
rFP,lPORB
rPOPE,lPORB
rRMF,lPORB
rPREC,lPORB
rPCUN,lPORB
rCUN,lPORB
rIT,lPORB
rMT,lPORB
rST,lPORB
lPARC,lPORB
lCAC,lPORB
lPC,lPORB
lPSTC,lPORB
lSMAR,lPORB
lSP,lPORB
