29	26	-1
36	27	-14
28	24	-9
28	19	-16
19	14	-17
15	19	-17
17	25	-18
15	26	-16
21	29	-10
26	25	-15
37	31	-10
30	37	-5
13	33	-21
12	42	-20
23	38	-10
25	47	-8
18	42	-13
12	52	-16
21	57	-11
42	31	-11
47	35	-10
44	45	-9
40	49	-4
33	48	-9
33	57	-8
8	61	-11
10	65	-5
6	16	-15
5	21	-19
4	29	-20
7	27	-12
11	40	-7
8	36	-17
5	44	-18
7	38	-12
9	48	-5
6	51	-16
8	56	-8
11	53	-1
39	33	-1
50	35	-4
42	39	2
46	33	10
52	31	1
54	28	8
41	27	8
32	29	8
47	19	9
35	19	13
41	12	10
48	12	4
51	12	10
54	18	17
55	23	18
42	22	18
38	15	21
45	9	17
20	61	0
22	53	-5
31	50	-3
25	49	4
25	56	9
25	49	15
35	50	14
38	52	9
37	54	3
37	43	7
37	43	17
33	45	22
25	41	20
27	35	28
36	34	30
40	40	25
37	33	14
43	29	21
47	35	23
46	29	29
44	23	29
33	31	36
9	57	5
11	64	7
10	53	9
15	46	9
8	52	17
14	63	14
19	58	17
8	60	22
9	45	22
15	37	20
9	44	30
8	56	29
22	53	24
25	47	30
22	40	30
17	46	36
8	52	35
8	47	41
8	34	34
14	29	29
14	18	37
9	26	38
8	33	43
8	39	48
18	37	43
22	30	37
21	24	42
20	30	49
11	32	52
9	18	48
11	12	44
14	4	42
8	6	50
9	16	60
9	24	56
21	21	54
22	14	48
23	4	47
22	12	57
14	7	59
24	3	59
20	-3	60
8	3	63
9	-2	57
10	-5	48
11	-5	66
29	25	40
38	27	42
41	18	47
32	17	45
38	19	32
33	13	28
42	17	39
37	5	35
32	11	51
41	6	49
39	7	42
27	2	45
30	4	50
43	3	15
48	4	10
57	4	7
54	-2	11
61	2	16
57	6	13
50	5	22
49	6	29
58	5	31
55	-3	21
47	-6	28
56	0	38
48	2	38
41	-2	42
51	-2	46
46	-8	36
39	-13	34
33	-17	41
42	-9	45
44	-4	53
31	-7	45
23	-7	48
34	-9	52
41	-10	59
38	-13	52
34	-22	47
27	-23	48
26	-21	59
34	-16	65
24	-11	54
26	-13	65
18	-22	63
18	-26	54
10	-28	65
15	-18	71
14	-12	61
5	-23	65
5	-31	61
8	-38	66
10	-35	55
7	-28	54
18	-39	50
19	-34	42
18	-26	39
12	-25	48
12	-15	46
6	-15	52
6	-13	64
6	28	-6
7	37	-2
9	41	6
9	37	14
6	31	20
7	26	26
7	18	30
6	10	34
7	2	38
12	-9	39
5	-5	34
5	-17	32
6	-24	38
14	-19	37
12	-30	38
7	-36	41
5	-33	32
11	-38	33
6	-45	30
6	-47	21
9	-49	10
27	-55	8
17	-47	5
50	-8	15
45	-13	21
52	-16	19
61	-17	20
61	-10	16
63	-5	13
64	-7	24
62	-9	32
51	-9	27
57	-10	36
56	-17	30
50	-19	38
57	-13	41
45	-17	38
45	-17	48
55	-14	48
50	-18	55
47	-24	50
42	-27	45
38	-31	50
45	-25	60
37	-25	49
36	-27	57
37	-32	62
31	-34	51
24	-34	59
30	-29	67
22	-30	56
23	-29	68
10	-34	66
14	-32	73
47	-23	21
37	-27	22
42	-34	20
50	-36	26
52	-22	23
58	-25	28
62	-24	33
60	-33	37
62	-38	31
63	-38	23
55	-40	42
56	-31	45
54	-26	38
48	-35	41
41	-36	36
43	-28	37
31	-36	43
29	-42	54
18	-40	64
16	-49	67
25	-45	59
