rPTRI,rLOF
rENT,rLOF
rTT,rLOF
lCMF,rLOF
lLOC,rLOF
lPARH,rLOF
lTP,rLOF
lIT,rLOF
lBSTS,rLOF
rPTRI,rPORB
rTP,rPORB
lRAC,rPORB
rPOPE,rFP
rPREC,rFP
rPC,rFP
rST,rFP
rCAC,rMOF
rPSTC,rMOF
lSF,rMOF
lSP,rMOF
lLING,rMOF
lFUS,rMOF
lTP,rMOF
lST,rMOF
lTT,rMOF
rLOF,rPTRI
rPORB,rPTRI
rRMF,rPTRI
rRAC,rPTRI
rCAC,rPTRI
rPC,rPTRI
rPSTC,rPTRI
rSMAR,rPTRI
rIP,rPTRI
rLING,rPTRI
rENT,rPTRI
rBSTS,rPTRI
rTT,rPTRI
lPORB,rPTRI
lFP,rPTRI
lMOF,rPTRI
lCMF,rPTRI
lPREC,rPTRI
lLOC,rPTRI
lPARH,rPTRI
lENT,rPTRI
lTP,rPTRI
rFP,rPOPE
rRMF,rPOPE
rRAC,rPOPE
rPC,rPOPE
lPTRI,rPOPE
lPREC,rPOPE
lTP,rPOPE
rPTRI,rRMF
rPOPE,rRMF
rSF,rRMF
rRAC,rRMF
rCAC,rRMF
rPC,rRMF
rISTC,rRMF
rSMAR,rRMF
rIP,rRMF
rLING,rRMF
rENT,rRMF
rMT,rRMF
rBSTS,rRMF
rTT,rRMF
lFP,rRMF
lMOF,rRMF
lSF,rRMF
lCMF,rRMF
lPREC,rRMF
lCAC,rRMF
lLOC,rRMF
lPARH,rRMF
lENT,rRMF
lTP,rRMF
lMT,rRMF
lBSTS,rRMF
rRMF,rSF
rPARC,rSF
rSMAR,rSF
rPCAL,rSF
rLING,rSF
rENT,rSF
rTP,rSF
lMOF,rSF
lCMF,rSF
lCUN,rSF
lLOC,rSF
lPARH,rSF
lBSTS,rSF
rPCUN,rCMF
rCUN,rCMF
rLOCC,rCMF
lISTC,rCMF
rFP,rPREC
rPSTC,rPREC
rMT,rPREC
lCAC,rPREC
lPSTC,rPREC
lPCUN,rPREC
lFUS,rPREC
lIT,rPREC
lBSTS,rPREC
lST,rPREC
lTT,rPREC
rSF,rPARC
rPCAL,rPARC
rTP,rPARC
lCUN,rPARC
rPTRI,rRAC
rPOPE,rRAC
rRMF,rRAC
rCAC,rRAC
rISTC,rRAC
rPSTC,rRAC
rSMAR,rRAC
rIP,rRAC
rLING,rRAC
rPARH,rRAC
rENT,rRAC
rBSTS,rRAC
rST,rRAC
rTT,rRAC
lPORB,rRAC
lFP,rRAC
lMOF,rRAC
lPTRI,rRAC
lCMF,rRAC
lPREC,rRAC
lRAC,rRAC
lPCUN,rRAC
lPCAL,rRAC
lLOC,rRAC
lFUS,rRAC
lPARH,rRAC
lENT,rRAC
lTP,rRAC
lMT,rRAC
lBSTS,rRAC
rMOF,rCAC
rPTRI,rCAC
rRMF,rCAC
rRAC,rCAC
rPC,rCAC
rISTC,rCAC
rSMAR,rCAC
rIP,rCAC
rLING,rCAC
rENT,rCAC
rBSTS,rCAC
rST,rCAC
rTT,rCAC
lFP,rCAC
lMOF,rCAC
LRMF,rCAC
lCMF,rCAC
lPREC,rCAC
lLOC,rCAC
lPARH,rCAC
lENT,rCAC
lTP,rCAC
rFP,rPC
rPTRI,rPC
rPOPE,rPC
rRMF,rPC
rCAC,rPC
rSMAR,rPC
rIP,rPC
rLING,rPC
rENT,rPC
rST,rPC
rTT,rPC
lFP,rPC
lPTRI,rPC
lCMF,rPC
lPCAL,rPC
lLOC,rPC
lFUS,rPC
lPARH,rPC
lENT,rPC
lTP,rPC
lBSTS,rPC
rRMF,rISTC
rRAC,rISTC
rCAC,rISTC
rPSTC,rISTC
rSMAR,rISTC
rIP,rISTC
rLING,rISTC
rENT,rISTC
rTT,rISTC
lFP,rISTC
lMOF,rISTC
lPTRI,rISTC
lCMF,rISTC
lPCUN,rISTC
lLOC,rISTC
lFUS,rISTC
lPARH,rISTC
lENT,rISTC
lTP,rISTC
lIT,rISTC
rMOF,rPSTC
rPTRI,rPSTC
rPREC,rPSTC
rRAC,rPSTC
rISTC,rPSTC
rSMAR,rPSTC
rLING,rPSTC
rENT,rPSTC
lPORB,rPSTC
lMOF,rPSTC
lSF,rPSTC
lCMF,rPSTC
lPREC,rPSTC
lSMAR,rPSTC
lPCUN,rPSTC
lLOC,rPSTC
lFUS,rPSTC
lPARH,rPSTC
lENT,rPSTC
lTP,rPSTC
lIT,rPSTC
rPTRI,rSMAR
rRMF,rSMAR
rSF,rSMAR
rRAC,rSMAR
rCAC,rSMAR
rPC,rSMAR
rISTC,rSMAR
rPSTC,rSMAR
rIP,rSMAR
rLING,rSMAR
rENT,rSMAR
rBSTS,rSMAR
rTT,rSMAR
lPORB,rSMAR
lFP,rSMAR
lMOF,rSMAR
lPTRI,rSMAR
lCMF,rSMAR
lPREC,rSMAR
lPCAL,rSMAR
lLOC,rSMAR
lFUS,rSMAR
lPARH,rSMAR
lENT,rSMAR
lTP,rSMAR
lMT,rSMAR
lBSTS,rSMAR
lST,rSMAR
lPC,rSP
rPTRI,rIP
rRMF,rIP
rRAC,rIP
rCAC,rIP
rPC,rIP
rISTC,rIP
rSMAR,rIP
rLING,rIP
rPARH,rIP
rENT,rIP
rBSTS,rIP
rST,rIP
rTT,rIP
lFP,rIP
lMOF,rIP
lPTRI,rIP
lCMF,rIP
lLOC,rIP
lPARH,rIP
lENT,rIP
lTP,rIP
rCMF,rPCUN
rCUN,rPCUN
lLOF,rPCUN
LRMF,rPCUN
lPARC,rPCUN
lPCUN,rPCUN
rCMF,rCUN
rPCUN,rCUN
rIT,rCUN
rSF,rPCAL
rPARC,rPCAL
rTP,rPCAL
rCMF,rLOCC
rPTRI,rLING
rRMF,rLING
rSF,rLING
rRAC,rLING
rCAC,rLING
rPC,rLING
rISTC,rLING
rPSTC,rLING
rSMAR,rLING
rIP,rLING
rENT,rLING
rBSTS,rLING
rTT,rLING
lPORB,rLING
lFP,rLING
lMOF,rLING
lPTRI,rLING
lCMF,rLING
lPREC,rLING
lPCAL,rLING
lLOC,rLING
lFUS,rLING
lPARH,rLING
lENT,rLING
lTP,rLING
lMT,rLING
lBSTS,rLING
LRMF,rFUS
rRAC,rPARH
rIP,rPARH
lSF,rPARH
lPREC,rPARH
lBSTS,rPARH
rLOF,rENT
rPTRI,rENT
rRMF,rENT
rSF,rENT
rRAC,rENT
rCAC,rENT
rPC,rENT
rISTC,rENT
rPSTC,rENT
rSMAR,rENT
rIP,rENT
rLING,rENT
rBSTS,rENT
rTT,rENT
lPORB,rENT
lFP,rENT
lMOF,rENT
lPTRI,rENT
lCMF,rENT
lPREC,rENT
lPCAL,rENT
lLOC,rENT
lPARH,rENT
lENT,rENT
lTP,rENT
lMT,rENT
lBSTS,rENT
rPORB,rTP
rSF,rTP
rPARC,rTP
rPCAL,rTP
lPORB,rTP
lRAC,rTP
lCUN,rTP
rCUN,rIT
lPC,rIT
rRMF,rMT
